plots,block,Treatment
101,1,VI049044
102,1,VI055252
103,1,TPt-3-B
104,1,VI056941A
105,1,TPt-26
106,1,TPT-16
107,1,VI043348
108,1,TPT-11
109,1,VI048701A
110,1,VI041008
111,1,VI055618
112,1,VI041596
113,1,VI041594
114,1,DINO 03-0215
115,1,VI054649
116,1,TPt-11-A
117,1,VI039742
118,1,TPt-43
119,1,VI034496
120,1,TPT-12
121,1,VI034811
122,1,VI043606B
123,1,4-A
124,1,VI040876A
125,1,TPT 48 X TPT 11 B
126,1,TPt-17
127,1,TPT 48 X TPT 11 A
128,1,VI041582
201,2,TPT-16
202,2,VI056095
203,2,VI034627
204,2,TPt-30
205,2,VI039877
206,2,TPT 16 X TPT 126
207,2,VIO41597A
208,2,TPT-12
209,2,TPt-51
210,2,VI049117
211,2,VI056152A
212,2,VI041685
213,2,VI054891
214,2,VI054644
215,2,TPt-15
216,2,VI045119
217,2,DINO 04-1422
218,2,NSM 13-0061
219,2,TPt-21
220,2,VI056174
221,2,VI054665A
222,2,TPT 126 X TPT 42
223,2,VI034790
224,2,VI056077B
225,2,VI056936
226,2,VI041582A
227,2,TPT-11
301,3,VI056161
302,3,VI054640
303,3,TPT-16
304,3,VI055995
305,3,VI036282
306,3,TPt-6-A
307,3,VI054892
308,3,VI034757
309,3,VI056939
310,3,VI055717A
311,3,VI056162
312,3,VI054635
313,3,VI055625
314,3,VI056126A
315,3,TPt-153
316,3,VI034823
317,3,TPt-31
318,3,TPt-14
319,3,VI039962
320,3,VI055251
321,3,VI055249
322,3,VI047882
323,3,TPT-11
324,3,VI054669B
325,3,VI056940
326,3,TPT-12
327,3,TPT 16 X TPT 11
401,4,TPT-11
402,4,TPt-29
403,4,TPt-2W
404,4,VI056054
405,4,KTN 13-0021
406,4,VI034582
407,4,VI043605A
408,4,VI043346A
409,4,TPT 126 X TPT 16 A5
410,4,TPt-4-A
411,4,44666
412,4,TPT-16
413,4,VI041011
414,4,VI057275
415,4,VI041595A
416,4,VI055250
417,4,11-A
418,4,TPT-12
419,4,TPt-126
420,4,TPT 48 X TPT126
421,4,TPT 11 X TPT 16
422,4,VI056102
423,4,VI034781
424,4,VI041591A
425,4,VI039759
426,4,VI043349
427,4,VI040854
501,5,TPT 48 X TPT 11 M
502,5,TPt-4
503,5,TPT 42 X TPT 126
504,5,VI041592
505,5,TPt-10
506,5,6-A
507,5,VI041597A
508,5,TPt-3
509,5,VI049096
510,5,DINO 03-0087
511,5,TPt-19
512,5,TPT-11
513,5,TPT 11 X TPT 48 A1
514,5,TPT-16
515,5,VI034581A
516,5,VI050131
517,5,VI043347B
518,5,VI056937
519,5,VI039912
520,5,TPT 16 W
521,5,TPt-42
522,5,VI034752
523,5,TPt-48
524,5,TPT-12
525,5,VI040775
526,5,VI055948
527,5,VI056897
601,6,VI034683
602,6,VI036270
603,6,VI041038
604,6,2A
605,6,TPt-2-A
606,6,TPT 48 X TPT 126 A2
607,6,VI034581
608,6,VI041019
609,6,TPt-2M
610,6,VI043344
611,6,VI055819
612,6,TPT-11
613,6,TPT 126 X TPT 42 AA
614,6,VI055253
615,6,VI038155
616,6,DINO 03-0150
617,6,TPt-2A
618,6,VI034446
619,6,KTN 13-0022
620,6,TPT-16
621,6,TPT 16 X TPT 11 E2
622,6,VI043339
623,6,VIO39879A
624,6,VI039752
625,6,VI050314
626,6,TPT-12
627,6,VI040736A
701,7,VI034757A
702,7,VI040876B
703,7,VI049423
704,7,TPT-12
705,7,VI040736
706,7,VI043604A
707,7,TPT 126 X TPT 16 A
708,7,TPT 11 X TPT 16 E20
709,7,DINO 03-0062
710,7,VI054641
711,7,VI050152
712,7,TPt-9
713,7,TPt-33
714,7,VI054796
715,7,TPt-11-4
716,7,TPt-6
717,7,DINO 04-1426
718,7,TPT-16
719,7,TPT 11 X TPT 48
720,7,VI034544
721,7,VI039879
722,7,VI049459
723,7,VI038093
724,7,KTN 13-0027
725,7,48B
726,7,TPT-11
727,7,VI056130
801,8,VI054646
802,8,TPT-16
803,8,TPT-11
804,8,TPt-2
805,8,VI039925
806,8,VI041590
807,8,VI048468
808,8,TPt-154
809,8,VI040043
810,8,TPT 126 X TPT 16 B
811,8,TPt-125
812,8,TPt-32
813,8,TPT-12
814,8,Tpt-1A
815,8,VI055638
816,8,TPt-22
817,8,VI054664A
818,8,TPT 42 X TPT 126 A1
819,8,TPT 16 X TPT 126 A7
820,8,TPt-18
821,8,3-B
822,8,VI040662
823,8,VI054667
824,8,VI034722
825,8,TPt-53
826,8,TPt-5
827,8,VI034826
